DATE,TIME,ROAD_CLASS,DISTRICT,LATITUDE,LONGITUDE,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,PEDCOND,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,NEIGHBOURHOOD_158
1/17/2020 10:00:00 AM,1915,Major Arterial,North York,43.767485,-79.388225,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,30 to 34,,,,,Yes,,,,,Yes,,Yes,,,,Bayview Village
1/17/2020 10:00:00 AM,1915,Major Arterial,North York,43.767485,-79.388225,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,40 to 44,,,,,Yes,,,,,Yes,,Yes,,,,Bayview Village
1/17/2020 10:00:00 AM,1915,Major Arterial,North York,43.767485,-79.388225,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Passenger,25 to 29,,,,,Yes,,,,,Yes,,Yes,,,,Bayview Village
1/17/2020 10:00:00 AM,2140,Minor Arterial,Etobicoke York,43.622786,-79.549739,At Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Sideswipe,Driver,40 to 44,,,,,Yes,,,,,,,,,Yes,,Etobicoke City Centre
9/1/2009 8:00:00 AM,2140,Local,Scarborough,43.854145,-79.16969,,No Control,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,Passenger,15 to 19,,,,,Yes,,,,,Yes,Yes,Yes,,,,NSA
1/20/2020 10:00:00 AM,940,Expressway,Toronto and East York,43.644503,-79.375179,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Driver,30 to 34,,,,,Yes,,,,,,,,,,Yes,St Lawrence-East Bayfront-The Islands
1/20/2020 10:00:00 AM,1658,Major Arterial,Etobicoke York,43.662558,-79.531223,Intersection Related,No Control,Clear,Daylight,Loose Snow,Non-Fatal Injury,Pedestrian Collisions,Driver,45 to 49,,,Yes,,,,,Yes,,,,,,,,Edenbridge-Humber Valley
1/21/2020 10:00:00 AM,1900,Minor Arterial,North York,43.69258,-79.44083,At Intersection,Traffic Signal,Clear,"Dark, artificial",Wet,Non-Fatal Injury,Turning Movement,Driver,55 to 59,,,,,Yes,,,,,,,,,,,Oakwood Village
1/26/2020 10:00:00 AM,1932,Major Arterial,Scarborough,43.774241,-79.18172,Intersection Related,No Control,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,55 to 59,,,Yes,,Yes,,,,,Yes,,,,,,West Hill
1/26/2020 10:00:00 AM,1932,Major Arterial,Scarborough,43.774241,-79.18172,Intersection Related,No Control,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,Passenger,50 to 54,,,Yes,,Yes,,,,,Yes,,,,,,West Hill
1/27/2020 10:00:00 AM,1817,Major Arterial,Scarborough,43.795348,-79.196597,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,50 to 54,,,Yes,,Yes,,,,,,,,,,,Highland Creek
1/31/2020 10:00:00 AM,415,Major Arterial,North York,43.750178,-79.463344,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Truck Driver,25 to 29,,,Yes,,,,Yes,,,,,,,,,Downsview
1/31/2020 10:00:00 AM,845,Major Arterial,Etobicoke York,43.59801,-79.517459,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Other,Passenger,70 to 74,,,,,,,,Yes,,Yes,,,,,,New Toronto
1/31/2020 10:00:00 AM,1014,Major Arterial,Toronto and East York,43.678881,-79.344806,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,40 to 44,,,Yes,,Yes,,,,,Yes,,Yes,,,,Blake-Jones
1/31/2020 10:00:00 AM,1014,Major Arterial,Toronto and East York,43.678881,-79.344806,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Passenger,40 to 44,,,Yes,,Yes,,,,,Yes,,Yes,,,,Blake-Jones
1/31/2020 10:00:00 AM,1014,Major Arterial,Toronto and East York,43.678881,-79.344806,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Passenger,65 to 69,,,Yes,,Yes,,,,,Yes,,Yes,,,,Blake-Jones
1/31/2020 10:00:00 AM,1014,Major Arterial,Toronto and East York,43.678881,-79.344806,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Passenger,0 to 4,,,Yes,,Yes,,,,,Yes,,Yes,,,,Blake-Jones
2/1/2020 10:00:00 AM,231,Major Arterial,Toronto and East York,43.649077,-79.377879,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,35 to 39,,,Yes,,Yes,,,,,,,,,,,Downtown Yonge East
2/1/2020 10:00:00 AM,406,Major Arterial,Toronto and East York,43.680579,-79.430698,At Intersection,No Control,Clear,"Dark, artificial",Wet,Non-Fatal Injury,Rear End,Driver,35 to 39,,,,,Yes,,,,,Yes,Yes,Yes,,Yes,,Wychwood
2/1/2020 10:00:00 AM,406,Major Arterial,Toronto and East York,43.680579,-79.430698,At Intersection,No Control,Clear,"Dark, artificial",Wet,Non-Fatal Injury,Rear End,Passenger,20 to 24,,,,,Yes,,,,,Yes,Yes,Yes,,Yes,,Wychwood
2/4/2020 10:00:00 AM,1541,Minor Arterial,Scarborough,43.701308,-79.28725,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Approaching,Driver,50 to 54,,,,,Yes,,,,,Yes,Yes,Yes,,,,Clairlea-Birchmount
2/4/2020 10:00:00 AM,1541,Minor Arterial,Scarborough,43.701308,-79.28725,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Approaching,Driver,25 to 29,,,,,Yes,,,,,Yes,Yes,Yes,,,,Clairlea-Birchmount
2/4/2020 10:00:00 AM,1541,Minor Arterial,Scarborough,43.701308,-79.28725,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Approaching,Passenger,15 to 19,,,,,Yes,,,,,Yes,Yes,Yes,,,,Clairlea-Birchmount
2/7/2020 10:00:00 AM,1915,Major Arterial,Etobicoke York,43.719008,-79.508113,At Intersection,Traffic Signal,Clear,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,50 to 54,,,Yes,,Yes,,,,,,,,,,,Oakdale-Beverley Heights
2/11/2020 10:00:00 AM,1355,Major Arterial,North York,43.718352,-79.429553,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,55 to 59,,,Yes,,Yes,,,,,,,,,,,Bedford Park-Nortown
2/13/2020 10:00:00 AM,2345,Major Arterial,Toronto and East York,43.642932,-79.37778,Intersection Related,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,30 to 34,,,Yes,,Yes,,,,,,,Yes,,,,St Lawrence-East Bayfront-The Islands
2/16/2020 10:00:00 AM,1130,Major Arterial,North York,43.80202,-79.401675,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,25 to 29,,,,,Yes,,,,,Yes,,Yes,,,,Newtonbrook East
2/16/2020 10:00:00 AM,1130,Major Arterial,North York,43.80202,-79.401675,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,30 to 34,,,,,Yes,,,,,Yes,,Yes,,,,Newtonbrook East
2/16/2020 10:00:00 AM,1130,Major Arterial,North York,43.80202,-79.401675,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,60 to 64,,,,,Yes,,,,,Yes,,Yes,,,,Newtonbrook East
2/16/2020 10:00:00 AM,1130,Major Arterial,North York,43.80202,-79.401675,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Passenger,75 to 79,,,,,Yes,,,,,Yes,,Yes,,,,Newtonbrook East
2/17/2020 10:00:00 AM,1949,Major Arterial,Etobicoke York,43.592768,-79.540553,Intersection Related,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,35 to 39,,,Yes,,Yes,,,,,Yes,,Yes,,,,Long Branch
2/17/2020 10:00:00 AM,1949,Major Arterial,Etobicoke York,43.592768,-79.540553,Intersection Related,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,30 to 34,,,Yes,,Yes,,,,,Yes,,Yes,,,,Long Branch
2/17/2020 10:00:00 AM,1949,Major Arterial,Etobicoke York,43.592768,-79.540553,Intersection Related,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Passenger,20 to 24,,,Yes,,Yes,,,,,Yes,,Yes,,,,Long Branch
2/17/2020 10:00:00 AM,1949,Major Arterial,Etobicoke York,43.592768,-79.540553,Intersection Related,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Passenger,25 to 29,,,Yes,,Yes,,,,,Yes,,Yes,,,,Long Branch
2/18/2020 10:00:00 AM,1818,Major Arterial,North York,43.770259,-79.520694,Non Intersection,No Control,Clear,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,75 to 79,,,Yes,,Yes,,,,,,,,,,,Black Creek
2/22/2020 10:00:00 AM,320,Collector,North York,43.748633,-79.506542,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,Passenger,30 to 34,,,,,Yes,,,,,Yes,Yes,Yes,,,,Glenfield-Jane Heights
2/22/2020 10:00:00 AM,320,Collector,North York,43.748633,-79.506542,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,Passenger,15 to 19,,,,,Yes,,,,,Yes,Yes,Yes,,,,Glenfield-Jane Heights
2/22/2020 10:00:00 AM,320,Collector,North York,43.748633,-79.506542,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,Passenger,25 to 29,,,,,Yes,,,,,Yes,Yes,Yes,,,,Glenfield-Jane Heights
2/23/2020 10:00:00 AM,707,Major Arterial,Etobicoke York,43.737101,-79.34341,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Driver,25 to 29,,,,,Yes,,,,,,,Yes,Yes,,,Banbury-Don Mills
2/25/2020 10:00:00 AM,2105,Major Arterial,Etobicoke York,43.673464,-79.463008,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,55 to 59,,,Yes,,Yes,,,,,,,,,,,Weston-Pelham Park
2/28/2020 10:00:00 AM,650,Major Arterial,Toronto and East York,43.651206,-79.368221,At Intersection,Traffic Signal,Clear,Dawn,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,45 to 49,,,Yes,,Yes,,,,,,,Yes,,,,Moss Park
2/28/2020 10:00:00 AM,810,Major Arterial,North York,43.769202,-79.41286,At Intersection,Traffic Signal,Clear,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,55 to 59,,,Yes,,Yes,,,,,,,Yes,,,,Yonge-Doris
2/28/2020 10:00:00 AM,810,Major Arterial,North York,43.769202,-79.41286,At Intersection,Traffic Signal,Clear,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,35 to 39,,,Yes,,Yes,,,,,,,Yes,,,,Yonge-Doris
2/28/2020 10:00:00 AM,810,Major Arterial,North York,43.769202,-79.41286,At Intersection,Traffic Signal,Clear,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,25 to 29,Normal,,Yes,,Yes,,,,,,,Yes,,,,Yonge-Doris
2/29/2020 10:00:00 AM,1716,Major Arterial,Etobicoke York,43.735945,-79.594913,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,55 to 59,,,Yes,,Yes,,,,,Yes,,Yes,Yes,,,West Humber-Clairville
2/29/2020 10:00:00 AM,1716,Major Arterial,Etobicoke York,43.735945,-79.594913,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Passenger,30 to 34,,,Yes,,Yes,,,,,Yes,,Yes,Yes,,,West Humber-Clairville
3/1/2020 10:00:00 AM,2100,Major Arterial,North York,43.724547,-79.491039,Intersection Related,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Other,Passenger,50 to 54,,,,,,,,Yes,,Yes,,,,,,Oakdale-Beverley Heights
3/2/2020 10:00:00 AM,1410,Minor Arterial,Scarborough,43.68738,-79.283931,At Intersection,Pedestrian Crossover,Rain,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,50 to 54,,,Yes,,Yes,,,,,,,Yes,,,,Birchcliffe-Cliffside
3/2/2020 10:00:00 AM,1815,Major Arterial,North York,43.754439,-79.488719,At Intersection,Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,55 to 59,,,Yes,,Yes,,,,,,,Yes,,,,York University Heights
3/3/2020 10:00:00 AM,1520,Minor Arterial,Toronto and East York,43.683299,-79.302806,At Intersection,Pedestrian Crossover,Rain,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,55 to 59,,,Yes,,Yes,,,,,,,Yes,,,,East End-Danforth
3/3/2020 10:00:00 AM,1532,Major Arterial,Etobicoke York,43.646804,-79.513545,At Intersection,Stop Sign,Rain,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,35 to 39,,,Yes,,Yes,,,,,Yes,,,,,,Stonegate-Queensway
3/3/2020 10:00:00 AM,1532,Major Arterial,Etobicoke York,43.646804,-79.513545,At Intersection,Stop Sign,Rain,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,Passenger,5 to 9,,,Yes,,Yes,,,,,Yes,,,,,,Stonegate-Queensway
3/3/2020 10:00:00 AM,1726,Minor Arterial,Etobicoke York,43.680697,-79.508807,At Intersection,Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Turning Movement,Driver,35 to 39,,,,,Yes,,,,,,,Yes,,,,Edenbridge-Humber Valley
3/3/2020 10:00:00 AM,1726,Minor Arterial,Etobicoke York,43.680697,-79.508807,At Intersection,Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Turning Movement,Driver,50 to 54,,,,,Yes,,,,,,,Yes,,,,Edenbridge-Humber Valley
3/6/2020 10:00:00 AM,1352,Minor Arterial,Toronto and East York,43.683879,-79.300121,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,60 to 64,,,Yes,,,,,Yes,,,,Yes,,,,East End-Danforth
3/7/2020 10:00:00 AM,1940,Collector,Etobicoke York,43.68056,-79.482097,At Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Other,Passenger,60 to 64,,,,,,,,Yes,,Yes,,,,,,Rockcliffe-Smythe
3/10/2020 8:00:00 AM,632,Major Arterial,Toronto and East York,43.681639,-79.425678,At Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,40 to 44,,,Yes,,Yes,,,,,,,,,,,Wychwood
3/10/2020 8:00:00 AM,644,Minor Arterial,Toronto and East York,43.651496,-79.362697,At Intersection,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,35 to 39,,,Yes,,Yes,,,,,,,Yes,,,,St Lawrence-East Bayfront-The Islands
3/13/2020 8:00:00 AM,27,Major Arterial,Toronto and East York,43.658805,-79.349811,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,55 to 59,,,Yes,,Yes,,,,,,,Yes,,Yes,,South Riverdale
3/13/2020 8:00:00 AM,27,Major Arterial,Toronto and East York,43.658805,-79.349811,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,25 to 29,Normal,,Yes,,Yes,,,,,,,Yes,,Yes,,South Riverdale
3/15/2020 8:00:00 AM,1523,Major Arterial,Scarborough,43.718154,-79.240329,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,20 to 24,,,,Yes,Yes,,,,,Yes,,,,,,Cliffcrest
3/15/2020 8:00:00 AM,1523,Major Arterial,Scarborough,43.718154,-79.240329,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Passenger,20 to 24,,,,Yes,Yes,,,,,Yes,,,,,,Cliffcrest
3/18/2020 8:00:00 AM,2105,Major Arterial,Scarborough,43.776423,-79.173526,Intersection Related,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,unknown,,,Yes,,Yes,,,,,Yes,,,,,,West Hill
3/18/2020 8:00:00 AM,2105,Major Arterial,Scarborough,43.776423,-79.173526,Intersection Related,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,Passenger,20 to 24,,,Yes,,Yes,,,,,Yes,,,,,,West Hill
3/19/2020 8:00:00 AM,1220,Major Arterial,Scarborough,43.785308,-79.256435,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Sideswipe,Driver,55 to 59,,,,,Yes,,Yes,,,Yes,,,,,,Agincourt South-Malvern West
3/19/2020 8:00:00 AM,1220,Major Arterial,Scarborough,43.785308,-79.256435,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Sideswipe,Driver,40 to 44,,,,,Yes,,Yes,,,Yes,,,,,,Agincourt South-Malvern West
3/19/2020 8:00:00 AM,1220,Major Arterial,Scarborough,43.785308,-79.256435,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Sideswipe,Truck Driver,45 to 49,,,,,Yes,,Yes,,,Yes,,,,,,Agincourt South-Malvern West
3/19/2020 8:00:00 AM,1220,Major Arterial,Scarborough,43.785308,-79.256435,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Sideswipe,Passenger,50 to 54,,,,,Yes,,Yes,,,Yes,,,,,,Agincourt South-Malvern West
3/19/2020 8:00:00 AM,2110,Major Arterial,North York,43.786997,-79.417308,At Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,20 to 24,,,Yes,,Yes,,,,,,,Yes,,,,Newtonbrook East
3/25/2020 8:00:00 AM,524,Major Arterial,North York,43.718833,-79.304431,Intersection Related,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,60 to 64,,,Yes,,Yes,,,,,,,,,,,Victoria Village
3/25/2020 8:00:00 AM,2032,Major Arterial,Scarborough,43.822402,-79.312221,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,40 to 44,,,Yes,,Yes,,,,,,,Yes,,,,Steeles
3/29/2020 8:00:00 AM,1535,Collector,Etobicoke York,43.623797,-79.477939,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,25 to 29,,,,Yes,Yes,,,,,,,,,,,Humber Bay Shores
3/30/2020 8:00:00 AM,945,Major Arterial,Etobicoke York,43.708586,-79.478023,At Intersection,Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,Truck Driver,40 to 44,,,Yes,,Yes,,Yes,,,,Yes,Yes,,,,Brookhaven-Amesbury
3/30/2020 8:00:00 AM,945,Major Arterial,Etobicoke York,43.708586,-79.478023,At Intersection,Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,55 to 59,,,Yes,,Yes,,Yes,,,,Yes,Yes,,,,Brookhaven-Amesbury
4/4/2020 8:00:00 AM,715,Local,Etobicoke York,43.726561,-79.569522,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,25 to 29,,,,Yes,Yes,,,,,,Yes,Yes,,,,Rexdale-Kipling
4/4/2020 8:00:00 AM,917,Major Arterial,North York,43.744704,-79.486408,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Driver,55 to 59,,,,,Yes,,,Yes,,Yes,,Yes,Yes,,,Downsview
4/4/2020 8:00:00 AM,917,Major Arterial,North York,43.744704,-79.486408,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Passenger,20 to 24,,,,,Yes,,,Yes,,Yes,,Yes,Yes,,,Downsview
4/23/2020 8:00:00 AM,1323,Major Arterial,Toronto and East York,43.700225,-79.396999,Intersection Related,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Motorcycle Driver,60 to 64,,,,,Yes,Yes,,,,,,Yes,,,Yes,South Eglinton-Davisville
4/24/2020 8:00:00 AM,1345,Major Arterial,Scarborough,43.775935,-79.18922,At/Near Private Drive,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,15 to 19,,,,Yes,Yes,,,,,,,,,,,West Hill
4/23/2020 8:00:00 AM,1030,Major Arterial,North York,43.726569,-79.482028,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,60 to 64,,,Yes,,Yes,,,,,,,Yes,,,,Downsview
4/29/2020 8:00:00 AM,858,Major Arterial,Scarborough,43.765731,-79.28104,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,30 to 34,,,Yes,,Yes,,,,,,,Yes,,,,Dorset Park
5/1/2020 8:00:00 AM,1452,Major Arterial,Toronto and East York,43.658099,-79.372348,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,20 to 24,,,Yes,,Yes,,,,,Yes,,Yes,,,,Moss Park
