DATE,TIME,ROAD_CLASS,DISTRICT,LATITUDE,LONGITUDE,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDCOND,CYCACT,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,HOOD_158,HOOD_140,DIVISION
5/20/2007 8:00:00 AM,1044,Major Arterial,Etobicoke York,43.743645,-79.60389,At Intersection,Traffic Controller,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,15 to 19,West,"Automobile, Station Wagon",Turning Left,Improper Turn,Normal,,,,,Yes,,,,,,,,,,1,1,D23
5/20/2007 8:00:00 AM,1044,Major Arterial,Etobicoke York,43.743645,-79.60389,At Intersection,Traffic Controller,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Vehicle Owner,unknown,,Other,,,,,,,,Yes,,,,,,,,,,1,1,D23
5/20/2007 8:00:00 AM,1044,Major Arterial,Etobicoke York,43.743645,-79.60389,At Intersection,Traffic Controller,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,40 to 44,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,,,,,Yes,,,,,,,,,,1,1,D23
2/12/2007 10:00:00 AM,850,Major Arterial,Scarborough,43.783445,-79.26639,At Intersection,Traffic Signal,Snow,Daylight,Loose Snow,Non-Fatal Injury,Cyclist Collisions,Cyclist,40 to 44,West,Bicycle,Going Ahead,,,,Failed to Yield Right of Way,,Yes,Yes,,,,,,,,,,128,128,D42
6/22/2007 8:00:00 AM,2009,Major Arterial,Scarborough,43.778745,-79.30789,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,70 to 74,South,Other,,,,Normal,,Yes,,Yes,,,,Yes,,,,,,118,118,D42
6/22/2007 8:00:00 AM,2009,Major Arterial,Scarborough,43.778745,-79.30789,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Passenger,0 to 4,,Other,,,,,,Yes,,Yes,,,,Yes,,,,,,118,118,D42
6/22/2007 8:00:00 AM,2009,Major Arterial,Scarborough,43.778745,-79.30789,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Passenger,5 to 9,,Other,,,,,,Yes,,Yes,,,,Yes,,,,,,118,118,D42
6/22/2007 8:00:00 AM,2009,Major Arterial,Scarborough,43.778745,-79.30789,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Passenger,30 to 34,,Other,,,,,,Yes,,Yes,,,,Yes,,,,,,118,118,D42
6/26/2007 8:00:00 AM,1500,Major Arterial,Scarborough,43.796145,-79.22749,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Vehicle Owner,unknown,,Other,,,,,,,,Yes,,,,Yes,,,,,,146,132,D42
6/26/2007 8:00:00 AM,1500,Major Arterial,Scarborough,43.796145,-79.22749,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Passenger,10 to 14,,Other,,,,,,,,Yes,,,,Yes,,,,,,146,132,D42
6/26/2007 8:00:00 AM,1500,Major Arterial,Scarborough,43.796145,-79.22749,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Passenger,65 to 69,,Other,,,,,,,,Yes,,,,Yes,,,,,,146,132,D42
6/26/2007 8:00:00 AM,1500,Major Arterial,Scarborough,43.796145,-79.22749,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,30 to 34,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,,,,,Yes,,,,Yes,,,,,,146,132,D42
6/26/2007 8:00:00 AM,1935,Major Arterial,North York,43.734045,-79.35589,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Vehicle Owner,unknown,,Other,,,,,,,,Yes,,,,,Yes,Yes,,,,42,42,D33
6/26/2007 8:00:00 AM,1935,Major Arterial,North York,43.734045,-79.35589,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,55 to 59,South,"Automobile, Station Wagon",Going Ahead,Lost control,Unknown,,,,,Yes,,,,,Yes,Yes,,,,42,42,D33
6/26/2007 8:00:00 AM,1935,Major Arterial,North York,43.734045,-79.35589,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,35 to 39,South,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,,,,,Yes,,,,,Yes,Yes,,,,42,42,D33
6/26/2007 8:00:00 AM,1935,Major Arterial,North York,43.734045,-79.35589,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Other,unknown,,Other,,,,,,,,Yes,,,,,Yes,Yes,,,,42,42,D33
6/13/2007 8:00:00 AM,1420,Major Arterial,Toronto and East York,43.668645,-79.38609,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,70 to 74,North,Other,,,,Normal,,Yes,,Yes,,,,,,,,,,167,75,D51
6/13/2007 8:00:00 AM,1420,Major Arterial,Toronto and East York,43.668645,-79.38609,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,65 to 69,North,Other,,,,Normal,,Yes,,Yes,,,,,,,,,,167,75,D51
6/13/2007 8:00:00 AM,1420,Major Arterial,Toronto and East York,43.668645,-79.38609,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,,Other,Making U Turn,,,,,Yes,,Yes,,,,,,,,,,167,75,D51
6/29/2007 8:00:00 AM,2110,Collector,North York,43.698345,-79.46229,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Approaching,Vehicle Owner,unknown,,Other,,,,,,,,Yes,,,,Yes,Yes,Yes,,,,108,108,D13
6/29/2007 8:00:00 AM,2110,Collector,North York,43.698345,-79.46229,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Approaching,Passenger,0 to 4,,Other,,,,,,,,Yes,,,,Yes,Yes,Yes,,,,108,108,D13
6/29/2007 8:00:00 AM,2110,Collector,North York,43.698345,-79.46229,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Approaching,Passenger,5 to 9,,Other,,,,,,,,Yes,,,,Yes,Yes,Yes,,,,108,108,D13
6/29/2007 8:00:00 AM,2110,Collector,North York,43.698345,-79.46229,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Approaching,Driver,25 to 29,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,,,,,Yes,,,,Yes,Yes,Yes,,,,108,108,D13
7/2/2007 8:00:00 AM,1120,Major Arterial,Etobicoke York,43.700144,-79.516193,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,80 to 84,West,Bicycle,Going Ahead,,,,,,Yes,Yes,,,,,,,,,,113,113,D12
7/3/2007 8:00:00 AM,1101,Major Arterial,North York,43.761845,-79.38679,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Passenger,85 to 89,,Other,,,,,,,,Yes,,,,Yes,,Yes,Yes,,,40,40,D33
7/3/2007 8:00:00 AM,1101,Major Arterial,North York,43.761845,-79.38679,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Vehicle Owner,unknown,,Other,,,,,,,,Yes,,,,Yes,,Yes,Yes,,,40,40,D33
7/3/2007 8:00:00 AM,1101,Major Arterial,North York,43.761845,-79.38679,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Passenger,45 to 49,,Other,,,,,,,,Yes,,,,Yes,,Yes,Yes,,,40,40,D33
7/3/2007 8:00:00 AM,1101,Major Arterial,North York,43.761845,-79.38679,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Vehicle Owner,unknown,,"Automobile, Station Wagon",,,,,,,,Yes,,,,Yes,,Yes,Yes,,,40,40,D33
7/3/2007 8:00:00 AM,1101,Major Arterial,North York,43.761845,-79.38679,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,55 to 59,North,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,,,,,Yes,,,,Yes,,Yes,Yes,,,40,40,D33
7/3/2007 8:00:00 AM,1101,Major Arterial,North York,43.761845,-79.38679,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,50 to 54,South,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,Normal,,,,,Yes,,,,Yes,,Yes,Yes,,,40,40,D33
7/3/2007 8:00:00 AM,1101,Major Arterial,North York,43.761845,-79.38679,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,45 to 49,North,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,,,,,Yes,,,,Yes,,Yes,Yes,,,40,40,D33
7/3/2007 8:00:00 AM,1101,Major Arterial,North York,43.761845,-79.38679,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Other Property Owner,unknown,,Other,,,,,,,,Yes,,,,Yes,,Yes,Yes,,,40,40,D33
6/3/2007 8:00:00 AM,1758,Major Arterial,Scarborough,43.814545,-79.29219,,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,60 to 64,South,Bicycle,Going Ahead,,,,,,Yes,Yes,,,,,,Yes,Yes,,,130,130,D42
6/3/2007 8:00:00 AM,1921,Major Arterial,Toronto and East York,43.682545,-79.32719,,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,,Other,,,,,,Yes,,Yes,,,,,,,,,,65,65,D55
6/3/2007 8:00:00 AM,1921,Major Arterial,Toronto and East York,43.682545,-79.32719,,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,35 to 39,South,Other,,,,Normal,,Yes,,Yes,,,,,,,,,,65,65,D55
5/16/2007 8:00:00 AM,1145,Minor Arterial,Toronto and East York,43.659245,-79.44299,At Intersection,Stop Sign,Rain,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,,Other,Unknown,,,,,Yes,,Yes,,,,,,Yes,,,,171,93,D11
5/16/2007 8:00:00 AM,1145,Minor Arterial,Toronto and East York,43.659245,-79.44299,At Intersection,Stop Sign,Rain,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,65 to 69,West,Other,,,,Normal,,Yes,,Yes,,,,,,Yes,,,,171,93,D11
6/26/2007 8:00:00 AM,1730,Major Arterial,North York,43.792445,-79.44579,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,20 to 24,,Other,,,,Unknown,,Yes,,Yes,,,,,,,,,,NSA,NSA,D32
6/26/2007 8:00:00 AM,1730,Major Arterial,North York,43.792445,-79.44579,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,45 to 49,,Other,,,,Unknown,,Yes,,Yes,,,,,,,,,,NSA,NSA,D32
7/14/2007 8:00:00 AM,925,Collector,Scarborough,43.822245,-79.27519,,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,5 to 9,,Other,,,,Unknown,,Yes,,Yes,,,,,,,,,,130,130,D42
7/15/2007 8:00:00 AM,430,Major Arterial,Toronto and East York,43.637145,-79.47029,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,Passenger,55 to 59,,Other,,,,,,,,Yes,,,,Yes,,Yes,,,,87,87,D11
7/15/2007 8:00:00 AM,430,Major Arterial,Toronto and East York,43.637145,-79.47029,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,Vehicle Owner,unknown,,Other,,,,,,,,Yes,,,,Yes,,Yes,,,,87,87,D11
7/10/2007 8:00:00 AM,2227,Major Arterial,Etobicoke York,43.741945,-79.59419,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Vehicle Owner,unknown,,Other,,,,,,,,Yes,,,,Yes,Yes,Yes,Yes,,,2,2,D23
7/10/2007 8:00:00 AM,2227,Major Arterial,Etobicoke York,43.741945,-79.59419,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Passenger,25 to 29,,Other,,,,,,,,Yes,,,,Yes,Yes,Yes,Yes,,,2,2,D23
7/10/2007 8:00:00 AM,2227,Major Arterial,Etobicoke York,43.741945,-79.59419,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Passenger,20 to 24,,Other,,,,,,,,Yes,,,,Yes,Yes,Yes,Yes,,,2,2,D23
7/10/2007 8:00:00 AM,2227,Major Arterial,Etobicoke York,43.741945,-79.59419,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Driver,25 to 29,West,"Automobile, Station Wagon",Going Ahead,Exceeding Speed Limit,Unknown,,,,,Yes,,,,Yes,Yes,Yes,Yes,,,2,2,D23
7/12/2007 8:00:00 AM,2155,Major Arterial,Toronto and East York,43.644745,-79.40299,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,,Other,,,,,,Yes,,Yes,,,,,,,,,,164,77,D14
7/12/2007 8:00:00 AM,2155,Major Arterial,Toronto and East York,43.644745,-79.40299,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,55 to 59,West,Other,,,,Inattentive,,Yes,,Yes,,,,,,,,,,164,77,D14
6/14/2007 8:00:00 AM,908,Major Arterial,Toronto and East York,43.674745,-79.45739,,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Vehicle Owner,unknown,,Other,,,,,,,Yes,Yes,,,,,,,,,,91,91,D11
6/14/2007 8:00:00 AM,908,Major Arterial,Toronto and East York,43.674745,-79.45739,,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,50 to 54,West,Bicycle,Turning Left,,,,Failed to Yield Right of Way,,Yes,Yes,,,,,,,,,,91,91,D11
6/14/2007 8:00:00 AM,1029,Major Arterial,Toronto and East York,43.676945,-79.44779,,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,70 to 74,East,"Automobile, Station Wagon",Making U Turn,Failed to Yield Right of Way,Inattentive,,,,,Yes,Yes,,,,,Yes,,,,92,92,D13
6/21/2007 8:00:00 AM,954,Major Arterial,Toronto and East York,43.696145,-79.39619,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,35 to 39,East,Other,,,,Normal,,Yes,Yes,,,,,,,,,,,174,104,D53
7/20/2007 8:00:00 AM,818,Major Arterial,Toronto and East York,43.672045,-79.37069,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Passenger,35 to 39,,Other,,,,,,,,Yes,,,,Yes,,,,,,98,98,D53
7/20/2007 8:00:00 AM,818,Major Arterial,Toronto and East York,43.672045,-79.37069,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,30 to 34,South,"Automobile, Station Wagon",Turning Left,Driving Properly,Normal,,,,,Yes,,,,Yes,,,,,,98,98,D53
7/20/2007 8:00:00 AM,818,Major Arterial,Toronto and East York,43.672045,-79.37069,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,40 to 44,South,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,,,,,Yes,,,,Yes,,,,,,98,98,D53
6/21/2007 8:00:00 AM,226,Major Arterial,Toronto and East York,43.652445,-79.37549,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Vehicle Owner,unknown,,Other,,,,,,,,Yes,,,,Yes,,Yes,Yes,,,168,75,D51
6/21/2007 8:00:00 AM,226,Major Arterial,Toronto and East York,43.652445,-79.37549,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Passenger,15 to 19,,Other,,,,,,,,Yes,,,,Yes,,Yes,Yes,,,168,75,D51
6/21/2007 8:00:00 AM,226,Major Arterial,Toronto and East York,43.652445,-79.37549,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Passenger,20 to 24,,Other,,,,,,,,Yes,,,,Yes,,Yes,Yes,,,168,75,D51
6/21/2007 8:00:00 AM,226,Major Arterial,Toronto and East York,43.652445,-79.37549,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Driver,35 to 39,North,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,Normal,,,,,Yes,,,,Yes,,Yes,Yes,,,168,75,D51
6/21/2007 8:00:00 AM,226,Major Arterial,Toronto and East York,43.652445,-79.37549,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Other Property Owner,unknown,,Other,Unknown,,,,,,,Yes,,,,Yes,,Yes,Yes,,,168,75,D51
6/21/2007 8:00:00 AM,2250,Major Arterial,North York,43.761845,-79.41099,,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,30 to 34,East,Other,,,,Normal,,Yes,,Yes,,,,,Yes,Yes,,Yes,,151,51,D32
7/20/2007 8:00:00 AM,1637,Major Arterial,Scarborough,43.778245,-79.23239,,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,0 to 4,West,Other,,,,Inattentive,,Yes,,Yes,,,,,,,,,,142,137,D43
7/20/2007 8:00:00 AM,1637,Major Arterial,Scarborough,43.778245,-79.23239,,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,25 to 29,West,Other,,,,Inattentive,,Yes,,Yes,,,,,,,,,,142,137,D43
7/20/2007 8:00:00 AM,1637,Major Arterial,Scarborough,43.778245,-79.23239,,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,,Other,,,,,,Yes,,Yes,,,,,,,,,,142,137,D43
4/13/2007 8:00:00 AM,1539,Minor Arterial,Toronto and East York,43.667745,-79.32329,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Passenger,unknown,,Other,Other,,,,,,,Yes,,,,Yes,,,,,,65,65,D55
4/13/2007 8:00:00 AM,1539,Minor Arterial,Toronto and East York,43.667745,-79.32329,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Vehicle Owner,unknown,,Other,Other,,,,,,,Yes,,,,Yes,,,,,,65,65,D55
4/13/2007 8:00:00 AM,1539,Minor Arterial,Toronto and East York,43.667745,-79.32329,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,25 to 29,East,"Automobile, Station Wagon",Going Ahead,,,,,,,Yes,,,,Yes,,,,,,65,65,D55
4/13/2007 8:00:00 AM,1539,Minor Arterial,Toronto and East York,43.667745,-79.32329,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,45 to 49,East,"Automobile, Station Wagon",Stopped,,,,,,,Yes,,,,Yes,,,,,,65,65,D55
6/23/2007 8:00:00 AM,1000,Minor Arterial,Scarborough,43.853145,-79.17999,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Passenger,45 to 49,,Other,,,,,,,,Yes,,,,Yes,,Yes,,,,144,131,D42
6/23/2007 8:00:00 AM,1000,Minor Arterial,Scarborough,43.853145,-79.17999,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Vehicle Owner,unknown,,Other,,,,,,,,Yes,,,,Yes,,Yes,,,,144,131,D42
6/23/2007 8:00:00 AM,1000,Minor Arterial,Scarborough,43.853145,-79.17999,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Driver,40 to 44,South,"Automobile, Station Wagon",Going Ahead,Failed to Yield Right of Way,Inattentive,,,,,Yes,,,,Yes,,Yes,,,,144,131,D42
6/22/2007 8:00:00 AM,1210,Minor Arterial,Scarborough,43.783245,-79.17069,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Vehicle Owner,unknown,,Other,,,,,,,,,Yes,,,,,Yes,,,,133,133,D43
6/22/2007 8:00:00 AM,1210,Minor Arterial,Scarborough,43.783245,-79.17069,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Driver,40 to 44,South,Other,Turning Left,Failed to Yield Right of Way,Normal,,,,,,Yes,,,,,Yes,,,,133,133,D43
6/22/2007 8:00:00 AM,2300,Major Arterial,Etobicoke York,43.678945,-79.55169,,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Rear End,Passenger,60 to 64,,Other,,,,,,,,Yes,,,,Yes,,Yes,,,,7,7,D23
6/22/2007 8:00:00 AM,2300,Major Arterial,Etobicoke York,43.678945,-79.55169,,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Rear End,Driver,65 to 69,North,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,,,,,Yes,,,,Yes,,Yes,,,,7,7,D23
7/24/2007 8:00:00 AM,930,Major Arterial,Toronto and East York,43.656645,-79.38109,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Passenger,30 to 34,,Other,,,,,,Yes,,Yes,,,,Yes,,,,,,170,76,D52
7/24/2007 8:00:00 AM,930,Major Arterial,Toronto and East York,43.656645,-79.38109,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,70 to 74,West,Other,,,,Inattentive,,Yes,,Yes,,,,Yes,,,,,,170,76,D52
6/24/2007 8:00:00 AM,2123,Major Arterial,Etobicoke York,43.645845,-79.52389,,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,60 to 64,West,Other,,,,Inattentive,,Yes,,Yes,,,,,,,,,,158,14,D22
